Instance, Scheduled (%), Cost, Mods., Elegible req., Feasible mods., Feasible req., Max. cost save (%), Feasible cost save (%)
 60r-10v,  60 (100.0),  729,  557,   59,  178,   26,   188 (25.8),    39 (5.4)
 60r-15v,  60 (100.0),  753,  628,   59,  173,   26,   180 (24.0),    43 (5.7)
 60r-20v,  60 (100.0),  746,  607,   59,  158,   25,   169 (22.7),    39 (5.3)
120r-10v, 120 (100.0), 1423,  1286,  117,  254,   34,   222 (15.6),    53 (3.7)
120r-15v, 120 (100.0), 1487,  1299,  118,  203,   28,   206 (13.8),    39 (2.6)
120r-20v, 120 (100.0), 1446,  1257,  116,  220,   26,   231 (16.0),    38 (2.6)
180r-10v, 158 (87.8), 1860,  1725,  151,  284,   37,   255 (13.7),    54 (2.9)
180r-15v, 180 (100.0), 2129,  1970,  173,  265,   33,   214 (10.1),    44 (2.1)
180r-20v, 180 (100.0), 2167,  1830,  169,  369,   49,   367 (16.9),    78 (3.6)
240r-10v, 176 (73.3), 2157,  1853,  166,  218,   31,   221 (10.2),    49 (2.3)
240r-15v, 235 (97.9), 2594,  2294,  217,  312,   47,   304 (11.7),    67 (2.6)
240r-20v, 240 (100.0), 2507,  2302,  221,  343,   52,   323 (12.9),    75 (3.0)
300r-10v, 191 (63.7), 2056,  1973,  182,  121,   26,   125 (6.1),    43 (2.1)
300r-15v, 261 (87.0), 2919,  2818,  253,  129,   30,   124 (4.2),    36 (1.2)
300r-20v, 291 (97.0), 3095,  2802,  279,  260,   45,   218 (7.0),    61 (2.0)
360r-10v, 187 (51.9), 2034,  1987,  181,  138,   22,   139 (6.9),    34 (1.7)
360r-15v, 281 (78.1), 2936,  2815,  267,  192,   38,   158 (5.4),    44 (1.5)
360r-20v, 346 (96.1), 3629,  3328,  331,  334,   49,   298 (8.2),    63 (1.7)
420r-10v, 207 (49.3), 2119,  2118,  189,  185,   28,   157 (7.4),    39 (1.8)
420r-15v, 305 (72.6), 3061,  3143,  288,  244,   37,   193 (6.3),    47 (1.5)
420r-20v, 377 (89.8), 3951,  3977,  352,  390,   64,   337 (8.5),    87 (2.2)
480r-10v, 205 (42.7), 2056,  1987,  191,  116,   18,   109 (5.3),    26 (1.3)
480r-15v, 302 (62.9), 3075,  2877,  278,  164,   29,   198 (6.4),    54 (1.8)
480r-20v, 402 (83.8), 4014,  3703,  374,  294,   47,   256 (6.4),    66 (1.6)
540r-10v, 206 (38.1), 2099,  2091,  192,  127,   17,   100 (4.8),    21 (1.0)
540r-15v, 309 (57.2), 3113,  2969,  288,  266,   35,   234 (7.5),    53 (1.7)
540r-20v, 400 (74.1), 4028,  3852,  368,  248,   48,   243 (6.0),    69 (1.7)
600r-10v, 221 (36.8), 2123,  2103,  208,   92,   16,    90 (4.3),    22 (1.0)
600r-15v, 318 (53.0), 3074,  3081,  293,  155,   22,   144 (4.7),    30 (1.0)
600r-20v, 411 (68.5), 4007,  3976,  384,  263,   49,   238 (5.9),    62 (1.6)
